,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000
upper_mis_st_val,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,10000110xxxxxxxx,10000110xxxxxxxx,10000110xxxxxxxx,10000110xxxxxxxx,10000110xxxxxxxx,10000110xxxxxxxx,1000011000000000,1000011000000000,1000011000000000,1000011000000000,1000000000000000,1000000000000000,1111111100000000,1111111100000000,0000000x00000000,0000000x00000000,0000000x00000000,0000000x00000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
true_instr,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,1000011010000000,1000011010000000,1000011001010000,1000011001010000,1000011011000000,1000011011000000,1000011011000000,1000011011000000,1000011011110000,1000011011110000,1000000010100000,1000000010100000,1111111111111111,1111111111111111,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
sub_res,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000000000000,0000000000000000,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
rt,xxxx,xxxx,xxxx,xxxx,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
res_wb,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000001101000,0000000001101000,0000000001100101,0000000001100101,0000000001101100,0000000001101100,0000000001101100,0000000001101100,0000000001101111,0000000001101111,0000000000001010,0000000000001010,11111111xxxxxxxx,11111111xxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
res_exec2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000001101000,0000000001101000,0000000001100101,0000000001100101,0000000001101100,0000000001101100,0000000001101100,0000000001101100,0000000001101111,0000000001101111,0000000000001010,0000000000001010,11111111xxxxxxxx,11111111xxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
reg_pc_or_changed,0000000000000000,0000000000000000,0000000000000010,0000000000000010,0000000000000100,0000000000000100,0000000000000110,0000000000000110,0000000000001000,0000000000001000,0000000000001010,0000000000001010,0000000000001100,0000000000001100,0000000000001110,0000000000001110,0000000000010000,0000000000010000,0000000000010010,0000000000010010,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
read_data_2,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,0000000001101000,0000000001101000,0000000001100101,0000000001100101,0000000001101100,0000000001101100,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx
read_addr_2,xxxx,xxxx,xxxx,xxxx,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
rb,xxxx,xxxx,xxxx,xxxx,1000,1000,0101,0101,1100,1100,1100,1100,1111,1111,1010,1010,1111,1111,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
